"Contact Form","Kontaktformulär"
"New Request","Ny förfrågan"
"Password Reset","Återställ lösenord"
"Go to My Account","Mitt konto"
"New Account Confirmation","Nytt konto"
"Account Confirmed","Kontot har bekräftats"
"Set a New Password","Byt lösenord"
"Password Changed","Lösenordet har bytts"
"Subscription Confirmation","Nyhetsbrevet har beställts"
"Confirm My Subscription","BEKRÄFTA PRENUMERATION PÅ NYHETSBREV"
"Go to Store","Till butiken"
"Credit Memo Update","Kreditfakturan uppdaterad"
"for Order","för betällning"
"Sku","SKU"
"Order Update","Beställningsinformation"
"Shipment Update","Leveransinformation"
"Shared product","Delad produkt"
"Shared Wishlist","Delad önskelista"
"View all wishlist Items","Visa alla produkter i önskelistan"
"Thank you!","Tack!"
"Product Stock Alert","Lagernotis för produkten"
