"Subtotal:","Yhteensä:"
"Subtotal","Välisumma"
"Tax:","ALV:"
"Grand Total:","Kokonaissumma:"
"Shipping & Handling:","Toimitus"
"DISCOUNT ():","Alennus ():"
"Discount ():","Alennus ():"
"Notes:","Lisätiedot:"
"Grand Total (Excl. Tax):","YHTEENSÄ (ilman alv)"
"Grand Total (Incl. Tax):","YHTEENSÄ (sis. alv)"
"[FPT: %1]","[FPT: %1]"
"ADJUSTMENT FEE","Palautus"
"Adjustment Fee","Palautus"
"Tax %1%","ALV %1%"
"Tax (%1%)","ALV (%1%)"
"Tax %1% ","ALV %1%"
"Tax (%1%) ","ALV (%1%)"
"Shipping & Handling","Toimitusmaksu"
"Grand Total","Yhteensä"
"ORDER TOTAL","Yhteensä"
"SUBTOTAL","Välisumma"
