"Accepted Consents", "Hyväksytyt Suostumukset"
"Client's Requests", "Asiakkaan Pyyntöjä"
"A total of %1 record(s) have been canceled.", "Yhteensä %1 tietue(t) on peruutettu."
"A total of %1 record(s) have been skipped", "Yhteensä %1 tietue(t) on ohitettu"
"A total of %1 record(s) have been deleted.", "Yhteensä %1 tietue(t) on poistettu."
"A total of %1 record(s) have been processed.", "Yhteensä %1 tietue(t) on käsitelty."
"This item no longer exists.", "Tämä kohde ei ole enää olemassa."
"Requested item was skipped.", "Pyydettyä kohdetta ei käsitelty."
"Request was successfully processed.", "Pyyntö käsiteltiin onnistuneesti."
"Request processing was failed.", "Pyydetyt käsittely epäonnistui."
"Privacy Tools", "Yksityisyyteni"
"Invalid Form Key. Please refresh the page.", "Virheellinen lomakeavain. Päivitä sivu ja kokeile uudestaan."
"Please accept all required checkboxes", "Hyväksy kaikki vaaditut valintaruudut"
Goodbye!, Näkemiin!
"Export Data", "Vie Tiedot"
"Delete Data", "Poista Tiedot"
"View Privacy Tools", "Näytä Yksityisyyden Työkalut"
Running, Käynnissä
Processed, Käsitelty
Failed, Epäonnistui
"Unsupported request type: '%1'", "Ei-tuettu pyynnön tyyppi: '%1'"
label, etiketti
value, arvo
"Can't remove data. Incompleted orders found: %1", "Ei voida poistaa tietoja. Löydettiin keskeneräisiä tilauksia: %1"
"Attempt to add an invalid object", "Yritys lisätä kelvoton kohde"
"Please accept all consents.", "Hyväksy kaikki suostumukset."
Guest, Vieras
"Open Customer Page", "Avaa Asiakassivu"
"Here you can view the consents you have given.", "Täällä voit tarkastella antamiasi suostumuksia."
"To use this website, you accepted our Privacy Policy.", "Käyttääksesi My Dream Dayn verkkosivustoa, olet hyväksynyt tietosuojakäytäntömme."
"If you wish to withdraw your acceptance, please use the ""Delete My Data"" button below.", "Jos haluat peruuttaa hyväksyntäsi, käytä alla olevaa ""Poista Tietoni"" -painiketta."
"Delete Account", "Poista Tili"
"Once you delete your data, there is no going back. Please be certain.", "Kun poistat tietosi, ei ole paluuta. Ole varma."
"Delete My Data", "Poista Tietoni"
"Are you absolutely sure?", "Oletko aivan varma?"
"Unexpected bad things will happen if you don’t read this!", "Odottamattomia huonoja asioita tapahtuu, jos et lue tätä!"
"This action cannot be undone.", "Tätä toimintoa ei voi peruuttaa."
"This will permanently delete your orders, comments, questions, reviews, and other associations with your account.", "Tämä poistaa pysyvästi tilauksesi, kommenttisi, kysymyksesi, arvostelusi ja muut yhteydet tilillesi."
"Once you press ""Delete My Data"" button, <strong>you will be logged out, and will never be able to login into this account.</strong>", "Kun painat ""Poista Tietoni"" -painiketta, <strong>sinut kirjataan ulos, etkä voi enää kirjautua tähän tiliin.</strong>"
"I have read the text above and want to erase all of my data", "Olen lukenut yllä olevan tekstin ja haluan poistaa kaikki tietoni"
"Your data is queued for automatic deletion and nobody can stop this.", "Tietosi on jonossa automaattiseen poistoon eikä kukaan voi estää tätä."
"It was a great time, though.", "Se oli kuitenkin hienoa aikaa."
"Yes, Delete My Data", "Kyllä, Poista Tietoni"
"Personal Data Consents", "Henkilötietojen Suostumukset"
"Deletion Requests", "Poistopyynnöt"
"Anonymized data placeholder", "Anonymisoitujen tietojen paikkamerkki"
"Automate request processing", "Automaattinen pyyntöjen käsittely"
"Days to wait", "Odottamispäivät"
Contacts, Yhteystiedot
"Show in Forms", "Näytä Lomakkeissa"
"Custom Consent 1", "Mukautettu Suostumus 1"
"Custom Consent 2", "Mukautettu Suostumus 2"
"Custom Consent 3", "Mukautettu Suostumus 3"
"Personal Data", "Henkilötiedot"
"Privacy Policy", "Tietosuojakäytäntö"
"Client's Identity", "Asiakkaan Identiteetti"
"Customer Name", "Asiakkaan Nimi"
"Form ID", "Lomakkeen ID"
Consent, Suostumus
"Updated At", "Päivitetty"
"Process requests", "Käsittele pyynnöt"
"Cancel requests", "Peruuta pyynnöt"
"Cancel requests?", "Peruuta pyynnöt?"
"Are you sure you want to cancel selected requests?", "Oletko varma, että haluat peruuttaa valitut pyynnöt?"
"Delete requests", "Poista pyynnöt"
"Delete requests?", "Poista pyynnöt?"
"Are you sure you want to delete selected requests?", "Oletko varma, että haluat poistaa valitut pyynnöt?"
"Request Type", "Pyydetyyppi"
"Created At", "Luotu"
"Executed At", "Suoritettu"
"Cookie Consents", "Evästeiden Suostumukset"
"Cookie Bar", "Evästepalkki"
"Cookie Settings Page", "Evästeasetusten Sivu"
"To override built-in page, use an URL of existing CMS page", "Ohittaaksesi sisäänrakennetun sivun, käytä olemassa olevan CMS-sivun URL-osoitetta"
"Cookie Settings", "Evästeasetukset"
"This group is required.", "Tämä ryhmä on vaadittu."
"Saved", "Tallennettu"
"Saving..", "Tallentaa.."
"Show Cookies", "Näytä Evästeet"
"Hide Cookies", "Piilota Evästeet"
"View Built-In Cookies", "Näytä Sisäänrakennetut Evästeet"
"View Cookie Groups", "Näytä Evästeryhmät"
"Register New Cookie", "Rekisteröi Uusi Eväste"
"Cookie Groups", "Evästeryhmät"
"Built-in Cookies", "Sisäänrakennetut Evästeet"
"Add New Group", "Lisää Uusi Ryhmä"
"Allow All & Save", "Salli Kaikki & Tallenna"
"Accept & Save", "Hyväksy & Tallenna"
"Cookie Wall Mode", "Evästeseinätila"
"Cover site content with overlay until client will accept the consent", "Peitä sivuston sisältö peittokuvalla kunnes asiakas hyväksyy su
