"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","Items %1-%2 of %3"
"Regular Price", "Ennen"
"Shop By","Suodata"
"Remove item", "Poista"
"Proceed to Checkout", "Kassalle"
"Grand Total", "Yhteensä"
"Review by", "Arvostelija"
"View Order", "Näytä tilaus"
"Update Shopping Cart", "Päivitä ostoskori"
"Print Order", "Tulosta tilaus"
"Move to Wish List","Siirrä toivelistaan"
"Copy to Wish List","Kopioi toivelistaan"
"Move Selected to Wish List", "Siirrä valitut toivelistaan"
"Copy Selected to Wish List", "Kopioi valitut toivelistaan"
"%1 items in wish list", "%1 tuotteita ostoskorissa"
"1 item in wish list", "1 tuote ostoskorissa"
"Continue to Shipping Information", "Valitse toimitustapa"
"You don\'t subscribe to our newsletter.","Et tilaa uutiskirjeemme"
"We can\'t find products matching the selection.","Valitettavasti meillä ei ole tuotteita jotka vastaavat hakuehtojasi juuri nyt. Mutta lisäämme uusia tuotteita päivittäin!"
"Password","Salasana"
"Don\'t have account? Click here to register","Rekisteröidy kauppiaaksi tästä"
"Don't have account? Click here to register","Rekisteröidy kauppiaaksi tästä"
"Process","Käsittelyssä"
"Top Selling Category","Myydyin kategoria"
"Price Rating","Arvosana hinnasta"
"Value Rating","Arvosana hinta-laatu suhdesta"
"Quality Rating","Arvosana laadusta"
"Activities","Tapahtumat"
"Latest Orders","Viimeiset tehdyt tilaukset"
"Purchased Total","Koko tilaus yhteensä"
"Base Total","Tuotteet yhteensä"
"View All Orders","Näytä kaikki tilaukset"
"Total Payout","Maksut yhteensä"
"Buyer Dashboard","Vaihda ostajaksi"
"Logout","Kirjaudu ulos"
"Order(s)","Tilauksia"
"Product(s)","Tuotteita"
"Customer(s)","Asiakkaita"
"You have signed out and will go to our homepage in 5 seconds.","Olet kirjautunut ulos ja sinut lähetetään My Dream Day:n kotisivuun automaattisesti 5 sekunnin kuluttua."
"LOAD MORE","LATAA ENEMMÄN"
"TOP SERVICES","KÄYTETYIMMÄT PALVELUT"
"Email Address","Sähköpostiosoite"
"My Account","Asiakastilini"
"My Profile","Profiilini"
"records found","tallenteet löydetty"
"Minimum of different classes of characters in password is 3. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Turvallisuuttasi ajatellen haluamme että käytät ainakin kolme näista: pienet kirjaimet, isot kirjaimet, numerot tai erikoismerkit."
"Create New Account","Luo uusi tili"
"Create an account successfully. Please wait...","Tilin luominen onnistui, odota hetki..."
