"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","Items %1-%2 of %3"
"Regular Price", "Före"
"Shop By","Ordna"
"Ostoskoriin","Varukorgen"
"Remove item", "Ta bort"
"Proceed to Checkout", "Till kassan"
"Grand Total", "Totalt"
"Review by", "Skrivet av"
"View Order", "Visa beställning"
"Update Shopping Cart", "Uppdatera varukorgen"
"Print Order", "Skriv ut beställningen"
"Move to Wish List","Flytta till inköpslistan"
"Copy to Wish List","Kopiera till inköpslistan"
"Move Selected to Wish List", "Flytta valda till inköpslistan"
"Copy Selected to Wish List", "Kopiera till inköpslistan"
"%1 items in wish list", "%1 produkter i varukorgen"
"1 item in wish list", "1 produkt i varukorgen"
"Continue to Shipping Information", "Välj leveransalternativ"
"You don\'t subscribe to our newsletter.","Du prenumererar inte på vårt nyhetsbrev"
"We can\'t find products matching the selection.","Tyvärr hittar vi inga produkter som motsvarar din sökkriterier just nu, men vi lägger till nya produkter dagligen!"
"Password","Lösenord"
"Don\'t have account? Click here to register","Saknar du konto? Tryck här för att registrera dig"
"Don't have account? Click here to register","Saknar du konto? Tryck här för att registrera dig"
"Process","Under behandling"
"Top Selling Category","Mest sålda kategori"
"Price Rating","Betyg för priset"
"Value Rating","Betyg för kvalitet och pris förhållande"
"Quality Rating","Betyg för kvalitet"
"Activities","Händelser"
"Latest Orders","Senaste beställningarna"
"Purchased Total","Totala inköp"
"Base Total","Produkter totalt"
"View All Orders","Visa alla beställningar"
"Total Payout","Betalningar totalt"
"Buyer Dashboard","Vaihda ostajaksi"
"Logout","Logga ut"
"Order(s)","Beställningar"
"Product(s)","Produkter"
"Customer(s)","Kunder"
"You have signed out and will go to our homepage in 5 seconds.","Du har loggats ut och kommer att förflyttas till My Dream Days hemsida automatiskt om 5 sekunder."
"LOAD MORE","LADDA MER"
"TOP SERVICES","KÄYTETYIMMÄT PALVELUT"
"Email Address","Epostadress"
"My Account","Kunduppgifter"
"records found","hittade poster"
"Minimum of different classes of characters in password is 3. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","För din säkerhet ber vi dig använda minst tre av dessa: små bokstäver, stora bokstäver, nummer eller specialtecken."
"Create New Account","Skapa nytt konto"
"Create an account successfully. Please wait...","Kontot skapades. Vänligen vänta..."
"Newsletter Subscriptions","Prenumerationer av nyhetsbrev"
"Login","Logga in"
"First Name","Förnamn"
"Order Total","Totalsumma"
"Shipping Methods","Leveransmetod"
